timestamp,price
2026-03-26T11:54:13.479483,68356
2026-03-26T11:54:16.036082,68356
2026-03-26T11:55:16.119899,68393
2026-03-26T11:56:16.292770,68408
2026-03-26T11:56:56.551728,68412
2026-03-26T11:57:08.461405,68412
2026-03-26T11:57:16.447551,68412
2026-03-26T11:57:38.381755,68412
2026-03-26T11:57:53.499462,68406
2026-03-26T11:58:16.581930,68406
2026-03-26T11:59:16.655236,68417
2026-03-26T11:59:24.323864,68417
2026-03-26T12:00:00.603726,68421
2026-03-26T12:00:16.812696,68421
2026-03-26T12:01:02.845818,68435
2026-03-26T12:01:16.898712,68435
2026-03-26T12:02:05.076568,68431
2026-03-26T12:02:17.049508,68431
2026-03-26T12:03:07.289506,68425
2026-03-26T12:03:17.198888,68425
2026-03-26T12:04:09.950608,68408
2026-03-26T12:04:16.216270,68408
2026-03-26T12:04:17.365636,68408
2026-03-26T12:04:33.343977,68408
2026-03-26T12:04:50.602548,68375
2026-03-26T12:05:07.719516,68375
2026-03-26T12:06:17.652846,68402
2026-03-26T12:06:29.720510,68402
2026-03-26T12:07:01.890831,68403
2026-03-26T12:07:17.758342,68403
2026-03-26T12:07:34.037189,68403
2026-03-26T12:08:06.252521,68394
2026-03-26T12:08:17.831612,68394
2026-03-26T12:08:38.372714,68394
2026-03-26T12:09:10.568167,68388
2026-03-26T12:09:17.910150,68388
2026-03-26T12:09:43.116818,68388
2026-03-26T12:10:15.541457,68403
2026-03-26T12:10:17.979375,68403
2026-03-26T12:10:47.761913,68403
2026-03-26T12:11:18.086517,68452
2026-03-26T12:11:19.973588,68452
2026-03-26T12:11:50.231623,68452
2026-03-26T12:12:01.957771,68435
2026-03-26T12:12:18.184466,68435
2026-03-26T12:13:18.347775,68424
2026-03-26T12:14:18.442423,68426
2026-03-26T12:14:34.321947,68426
2026-03-26T12:14:57.846491,68421
2026-03-26T12:15:18.527785,68421
2026-03-26T12:15:29.990022,68421
2026-03-26T12:16:02.147526,68414
2026-03-26T12:16:18.619419,68414
2026-03-26T12:16:34.297511,68414
2026-03-26T12:17:06.501533,68435
2026-03-26T12:17:18.738165,68435
2026-03-26T12:17:38.689156,68435
2026-03-26T12:18:10.898843,68421
2026-03-26T12:18:18.839941,68421
2026-03-26T12:18:43.245097,68421
2026-03-26T12:19:15.401876,68430
2026-03-26T12:19:18.938741,68430
2026-03-26T12:19:28.675642,68430
2026-03-26T12:20:00.843069,68437
2026-03-26T12:20:19.017466,68437
2026-03-26T12:20:32.997941,68437
2026-03-26T12:21:05.173392,68453
2026-03-26T12:21:19.096342,68453
2026-03-26T12:21:37.319281,68453
2026-03-26T12:22:09.489268,68459
2026-03-26T12:22:19.207029,68459
2026-03-26T12:22:41.630126,68459
2026-03-26T12:23:13.791717,68472
2026-03-26T12:23:19.298875,68472
2026-03-26T12:23:46.013319,68472
2026-03-26T12:24:18.619629,68499
2026-03-26T12:24:19.412925,68499
2026-03-26T12:24:50.792394,68499
2026-03-26T12:25:19.490209,68495
2026-03-26T12:25:22.986924,68495
2026-03-26T12:25:55.147969,68495
2026-03-26T12:26:19.607931,68487
2026-03-26T12:26:27.278908,68487
2026-03-26T12:26:59.479287,68448
2026-03-26T12:27:19.739268,68448
2026-03-26T12:27:31.617102,68448
2026-03-26T12:28:03.823967,68425
2026-03-26T12:28:19.916994,68425
2026-03-26T12:28:37.372056,68425
2026-03-26T12:28:39.690236,68425
2026-03-26T12:29:11.944341,68404
2026-03-26T12:29:20.244137,68404
2026-03-26T12:29:31.716736,68404
2026-03-26T12:29:51.014795,68404
2026-03-26T12:30:20.384293,68381
2026-03-26T12:30:26.315808,68381
2026-03-26T12:30:58.456937,68381
2026-03-26T12:31:20.483046,68405
2026-03-26T12:31:30.922371,68405
2026-03-26T12:32:03.402797,68399
2026-03-26T12:32:20.963536,68399
2026-03-26T12:32:35.667223,68399
2026-03-26T12:33:07.996896,68370
2026-03-26T12:33:21.248116,68370
2026-03-26T12:33:40.180643,68370
2026-03-26T12:34:13.787054,68331
2026-03-26T12:34:21.435014,68331
2026-03-26T12:34:46.347514,68331
2026-03-26T12:35:22.996330,68370
2026-03-26T12:35:23.500344,68370
2026-03-26T12:35:55.796034,68370
2026-03-26T12:36:23.187678,68385
2026-03-26T12:36:28.081448,68385
2026-03-26T12:37:00.342822,68385
2026-03-26T12:37:08.439549,68419
2026-03-26T12:37:23.592158,68419
2026-03-26T12:37:40.894328,68419
2026-03-26T12:38:13.207370,68471
2026-03-26T12:38:23.955472,68471
2026-03-26T12:38:45.596331,68471
2026-03-26T12:39:17.792252,68510
2026-03-26T12:39:24.188340,68510
2026-03-26T12:39:43.307524,68510
2026-03-26T12:39:57.389927,68510
2026-03-26T12:42:37.493773,68565
2026-03-26T12:42:38.727308,68565
2026-03-26T12:43:25.857273,68611
2026-03-26T12:44:11.391703,68603
2026-03-26T12:44:17.339838,68603
2026-03-26T12:44:50.023274,68603
2026-03-26T12:45:12.343428,68600
2026-03-26T12:45:22.289489,68600
2026-03-26T12:45:54.473055,68600
2026-03-26T12:46:12.500974,68591
2026-03-26T12:46:26.658031,68591
2026-03-26T12:46:59.026553,68591
2026-03-26T12:47:12.768545,68589
2026-03-26T12:47:31.353850,68589
2026-03-26T12:48:03.705997,68589
2026-03-26T12:48:12.977072,68581
2026-03-26T12:48:37.282959,68581
2026-03-26T12:49:11.564479,68622
2026-03-26T12:49:13.265331,68622
2026-03-26T12:49:44.386542,68622
2026-03-26T12:50:14.412394,68623
2026-03-26T12:50:17.081832,68623
2026-03-26T12:50:49.493915,68623
